mass_A
t,x,y
1.176414444E1,2.291741138E1,7.856777421E0
1.179760000E1,2.282606042E1,7.838721840E0
1.183082222E1,2.274421887E1,7.826287847E0
1.186415556E1,2.267339381E1,7.823081600E0
1.189748889E1,2.261137020E1,7.818185337E0
1.193082222E1,2.259162667E1,7.806486126E0
1.196415556E1,2.250211993E1,7.798310346E0
1.199748889E1,2.245437805E1,7.782407692E0
1.203082222E1,2.240753112E1,7.777645142E0
1.206415556E1,2.235402369E1,7.773012063E0
1.209748889E1,2.229782089E1,7.764940874E0
1.213082222E1,2.221484142E1,7.751491190E0
1.216415556E1,2.215284218E1,7.737500159E0
1.219748889E1,2.209611624E1,7.733727402E0
1.223082222E1,2.203572898E1,7.725607012E0
1.226415556E1,2.198682172E1,7.717958172E0
1.229748889E1,2.192034564E1,7.704214733E0
1.233082222E1,2.186180651E1,7.691951639E0
1.236405556E1,2.179587825E1,7.688786272E0
1.239728889E1,2.173957750E1,7.686142091E0
1.243072222E1,2.168368047E1,7.680071735E0
1.246403333E1,2.162839246E1,7.675954083E0
1.249734444E1,2.160594483E1,7.662990206E0
1.253065556E1,2.156628317E1,7.653546515E0
1.256396667E1,2.150451267E1,7.647258091E0
1.259727778E1,2.144359022E1,7.645148026E0
1.263058889E1,2.136047376E1,7.642582104E0
1.266390000E1,2.128287025E1,7.638813045E0
1.269732222E1,2.121563789E1,7.631313110E0
1.273074444E1,2.117326991E1,7.621451412E0
1.276397778E1,2.110835073E1,7.606997738E0
1.279737778E1,2.102977067E1,7.603218115E0
1.283063333E1,2.095860968E1,7.600312910E0
1.286388889E1,2.088618083E1,7.590423267E0
1.289735556E1,2.083743156E1,7.582475859E0
1.293061111E1,2.077787743E1,7.564615423E0
1.296386667E1,2.072976210E1,7.560591045E0
1.299726667E1,2.067422208E1,7.557540300E0
1.303066667E1,2.064016901E1,7.556554232E0
1.306392222E1,2.059885287E1,7.555899007E0
1.309717778E1,2.055355946E1,7.549125412E0
